Movie Title,Movie Score
$1000 a Minute,15.334819517686382
$9.99,14.359832548649045
'71,13.756900151976037
'97 Aces Go Places,8.294355918627058
'C'-Man,10.323673201290152
'Gator Bait,10.600339909399892
'Gator Bait 2: Cajun Justice,10.502778573484289
'Neath Brooklyn Bridge,9.95493485718339
'Neath the Arizona Skies,12.055374366831007
'Pimpernel' Smith,15.229310232289048
'Til There Was You,13.46724932521823
'Til We Meet Again,13.976696581875848
"'night, Mother",14.630744811154429
-But the Flesh Is Weak,11.523894004544598
...First Do No Harm,12.913730957863436
...Maybe This Time,15.800041461079607
.Hack//The Movie,15.953966966201063
009 Re: Cyborg,13.150342375903247
10,15.000488636242558
10 Cloverfield Lane,17.039174000621838
10 Endrathukulla,13.594297677301569
10 Kalpanakal,13.968003469983866
10 MPH,14.285869422246027
10 Minutes Gone,11.099975945589717
10 Promises to My Dog,13.919057118573122
10 Rillington Place,13.364002248295698
10 Things I Hate About You,21.70290893389753
10 to Midnight,12.428437193332655
"10,000 BC",14.2567303707639
100 Bloody Acres,12.822970256436314
100 Days,12.023253671070359
100 Days of Love,15.292347143864024
100 Rifles,12.689227623593727
100 Streets,12.711537084133578
100% Love,18.05551845259643
100% Wolf: Legend of the Moonstone,12.191413820528876
101 Dalmatians,17.943568660814517
101 Weddings,14.086457122899013
102 Dalmatians,15.0684345500236
10:30 A.M. Local Call,7.947656469421726
10:30 P.M. Summer,12.458921700563577
10Terrorists,8.553480669014473
11:14,16.101613112868318
12 Angry Men,23.094639341524747
12 Citizens,11.219910186535028
12 Monkeys,20.53206987644962
12 O'Clock High,16.516949996022692
12 Rounds,13.673193725115214
12 Rounds 2: Reloaded,14.27485860386833
12 Years a Slave,18.855465407052186
123,15.733068619287597
127 Hours,20.22751591729887
12:01 PM,13.923328596845737
13,14.611712321298945
13 Assassins,15.29575770455715
13 Conversations About One Thing,14.527136567980708
13 Eerie,11.345907965853247
13 Ghosts,13.234420942164062
13 Going on 30,19.559660286307633
13 Hours by Air,9.952414392899906
13 Moons,11.240436740073157
13 Rue Madeleine,13.74676424384222
13 Sins,15.53880492039397
13 West Street,11.665151285256846
13B: Fear Has a New Address,16.82600467526201
14 Blades,14.87324031670055
14 and Under,8.977387940284896
1408,15.899187758462997
1492: Conquest of Paradise,14.953474520878824
15 Minutes,14.147822942897207
16 Blocks,17.007334804004664
16 Years of Alcohol,12.99488236446506
1612: Khroniki smutnogo vremeni,13.089423695929417
17 Again,19.576729300829403
1776,15.970860953792643
18 Again!,14.13550378548852
180,12.9324102254491
1883,20.21549236663523
1911,11.637007141055971
1915,11.57182697131801
1920,15.223529541563837
1941,14.76533751083574
1942: A Love Story,17.342754238100966
1969,13.521305785716894
1971,16.24208702092436
1983,13.698591050964138
1984,15.803346979524603
1987: When the Day Comes,15.999804198773209
1: Nenokkadine,18.525625738376974
2 Days in the Valley,15.771785333411358
2 Fast 2 Furious,18.18247090842673
2 Frogs in the West,11.349387231855953
2 Guns,17.351598499475873
2 Harihar Nagar,13.876509062681114
2 Penkuttikal,8.226463630150882
2 States,17.432674482546478
2-Headed Shark Attack,10.403154127376606
20 Days in Mariupol,15.258595757769813
"20,000 Days on Earth",16.35189001397574
"20,000 Leagues Under the Sea",16.83001624551903
"20,000 Years in Sing Sing",14.839439110484484
200 Cigarettes,14.760129604005675
200 Motels,12.499274226857302
2000 AD,13.906711439560777
2001: A Space Odyssey,20.821134713871928
2001: Do Hazaar Ek,8.497278231891825
2002,12.600104176212975
2010: The Year We Make Contact,16.585982263419073
2012,17.185122852789828
2046,15.974328720680337
20th Century Boys 1: Beginning of the End,13.587994495557854
20th Century Boys 2: The Last Hope,14.506676284142095
20th Century Boys 3: Redemption,12.699385358313156
21,17.765355024791155
21 & Over,15.60268925633937
21 Days,11.617672212870064
21 Grams,18.316628534996596
21 Jump Street,20.35085475891134
22 Female Kottayam,14.111814770002166
22 Jump Street,19.707744053484546
23,15.517979953841996
23rd March 1931: Shaheed,14.447470805932426
24,20.173923362136897
24 Hour Party People,15.878619735208787
24 Hours in Police Custody,13.357966135700376
25 Words or Less,13.63018460890741
25th Hour,17.64315559049325
26 Years,12.397459250963678
27 Down,14.629267885049167
27 Dresses,18.137777087310205
27A,8.209394211252706
28 Days,14.76042004345718
28 Days Later,16.48245707094513
28 Hotel Rooms,12.84874810784599
28 Weeks Later,16.900959095016944
29,19.282724589757983
29 Februari,13.455160853530813
29th Street,16.97666480965357
2:22,14.2508733797196
2:37,13.838518674380717
3 A.M.,14.204337557841985
3 Chains o' Gold,16.21665545871293
3 Days to Kill,16.635950638575224
3 Deewarein,17.33574488943568
3 Dots,10.317919450831273
3 Dumb Clucks,12.24052996876917
3 Geezers!,9.733771616766745
3 Generations,14.506024259195996
3 Godfathers,14.670524253455941
3 Idiots,21.849261897319572
3 Men in White,11.659946151690411
3 Needles,12.068755547259974
3 Nights in the Desert,11.285468514541211
3 Ninjas,14.824955963020757
3 Ninjas Kick Back,12.932939611548328
3 Ninjas: Knuckle Up,13.01557558855229
3 Nuts in Search of a Bolt,9.636271300569884
3 Ring Circus,11.138605292082799
3 Strikes,10.965261360608089
3 Women,14.748811142197496
"3, 2, 1... Frankie Go Boom",14.66137535369222
3-D Sex and Zen: Extreme Ecstasy,10.907067778113152
30 Days of Night,16.896322002547045
30 Minutes or Less,14.83221723846273
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,9.895288229654332
30 Rock,20.402151549955565
300,19.990386967877306
3000 Miles to Graceland,14.302543315747538
300: Rise of an Empire,17.701383514734104
"301, 302",13.296916222510688
32aam Adhyayam 23aam Vaakyam,14.874456181377461
33 Postcards,14.420806465596439
36 China Town,14.553967946284814
36 Chowringhee Lane,15.427635252185233
36 Ghante,15.971545990367655
36 Hours,13.222813933470785
36 Hours to Kill,10.308802628783221
36 Vayadhinile,15.494919352396078
360,14.34321128396606
3:10 to Yuma,18.163994368125593
4 Minute Mile,13.798728329139637
4 for Texas,12.00901746811535
4 the People,14.11778887451915
4.3.2.1.,14.037467951996303
40 Carats,15.017658580644614
40 Days and 40 Nights,15.591116623721259
40 Days and Nights,9.578141329253816
40 Guns to Apache Pass,10.892237859937588
40 Pounds of Trouble,14.003522514979155
42,16.64642746609662
42nd Street,15.981899172032165
44 Minutes: The North Hollywood Shoot-Out,14.169706868880922
45 Years,15.537144525049262
47 Meters Down,14.920213494342887
47 Ronin,17.60748808626611
48 Shades,14.8435800090312
49th Parallel,13.354700560873791
4D Man,14.01363725226944
4th Period Mystery,9.007225031770588
5 Against the House,12.349629627095437
5 Branded Women,11.663236150628688
5 Card Stud,13.65858631975546
5 Centimeters per Second,17.960134426281563
5 Fingers,14.768221857882581
5 Steps to Danger,10.963399058189031
50 First Dates,20.93296027877192
50 Million Frenchmen,11.314193123750027
50 to 1,15.655480782427825
50/50,19.07673829820777
500 Days of Summer,18.951238546400997
51 Birch Street,14.806110016506057
5150 Elm's Way,12.877535986633868
52 Pick-Up,13.30108598759106
52 Tuesdays,13.752135181207878
54,13.10100277703265
55 Days at Peking,13.154416785931001
6 Days,14.139757673198709
"6,000 Enemies",10.529700721335889
6-5=2,13.967867634056262
60 Second Assassin,9.92580521610506
633 Squadron,13.505621328561073
68 Whiskey,13.655480782427823
7 Assassins,10.969580524754829
7 Days,11.90999478745514
7 Days 2 Guys 1 Juicer,12.03553920954981
7 Faces of Dr. Lao,15.09955102254508
7 Khoon Maaf,13.770340474389304
7 Women,11.346050847567728
7 Women from Hell,9.368741100444394
7/G Rainbow Colony,17.87941863738754
"70,000 Witnesses",11.211713521074197
711 Ocean Drive,13.656319716394222
71: Into the Fire,15.000480388953559
72 Miles Ek Pravas,15.034075033366562
72 Tenants of Prosperity,14.75077006070103
7aum Arivu,15.601764491897484
7th Cavalry,11.314125917630344
7th Day,15.269175280901285
8 Ball Bunny,14.574357403430099
8 Girls in a Boat,7.960216596773337
8 Heads in a Duffel Bag,13.692686807215157
8 Mile,18.878430510037965
8 Million Ways to Die,11.179267774944169
8 Seconds,13.598477144240565
8 Thottakkal,15.490401417348458
8 x 10 Tasveer,13.69398702981985
8 ½ Women,11.624965910672332
"80,000 Suspects",11.900365687405575
84 Charing Cross Road,16.65228276681112
88 Antop Hill,11.450528887032226
88 Minutes,14.762606238783864
8MM,15.346558900804185
9,16.04135114506509
9 Full Moons,13.576079792015669
9 Songs,13.2105216739144
9-1-1,17.812722422309047
9/11,11.986550503349896
9/Tenths,12.211473962239024
916,8.678217882017096
92 in the Shade,12.361598285824966
964 Pinocchio,11.648682955188677
99 Moons,9.907770958883447
99 River Street,13.590752444493887
9th Company,14.963255591548283
9½ Weeks,13.57568538527201
?: A Question Mark,13.471523976020364
A Bad Moms Christmas,14.86869831280179
A Barefoot Dream,17.43660027608109
A Bear for Punishment,13.907555506020863
A Beautiful Day in the Neighborhood,19.35178793021934
A Beautiful Life,15.930101165963208
A Beautiful Mind,22.043172621670102
A Beautiful Star,10.94785606281887
A Bedtime Story,10.393789576466231
A Beginner's Guide to Endings,13.118640321904142
A Bell for Adano,12.25511719205381
A Better Life,16.79502239153004
A Better Tomorrow,17.220044062909277
A Big Hand for the Little Lady,15.185349825250974
A Bill of Divorcement,12.979134149064638
A Bird in the Head,12.072712942205214
A Blood Pledge: Broken Promise,11.752139516876687
A Bloodthirsty Killer,13.18020932955265
A Blueprint for Murder,12.967245136890618
A Bone for a Bone,14.368993995007942
A Bottle in the Gaza Sea,14.965250910040883
A Boy Called Dad,14.360321381916396
A Boy Named Charlie Brown,15.531670927963024
A Boy Ten Feet Tall,15.078917625385923
A Boy and His Dog,13.515888246379012
A Boy and His Samurai,14.488231884397024
"A Boy, a Girl and a Bike",12.986410696562025
A Brand New Life,15.277538188864561
A Bridge Too Far,16.260336951133013
A Brilliant Young Mind,17.028131996720152
A Broken Life,15.3567847833455
A Bronx Tale,19.52251775078831
A Bucket of Blood,13.399463485381249
A Bug's Life,20.843485140289367
A Bullet Is Waiting,9.892001172544878
A Bullet for Joey,11.1764576687188
A Bullet for Pretty Boy,11.76534502195693
A Bunch of Amateurs,12.4736106562132
A Business Affair,12.511904857635702
A Busy Day,11.2080273336218
A Calamitous Elopement,9.067343916373083
A Canterbury Tale,13.490334137094546
A Certain Smile,10.822107517716972
A Child Is Waiting,14.28300833674978
A Chilling Cosplay,10.852088397716795
A Chinese Ghost Story II,14.12992875253015
A Chinese Ghost Story III,14.528068999114375
A Chinese Odyssey: Part One - Pandora's Box,15.363784978102094
A Chinese Tall Story,12.08654720633718
A Chorus Line,14.182639189652454
A Christmas Carol,17.416972692469326
A Christmas Horror Story,14.5123570027036
A Christmas Story,20.743685577732855
A Chump at Oxford,14.922193405101673
A Cinderella Story,17.047800519444763
A City's Child,14.85947753020211
A Civil Action,16.25006222508465
A Clockwork Orange,19.713405023028795
A Close Call for Boston Blackie,11.555884112614386
A Cold Wind in August,11.087892271994392
A Complete History of My Sexual Failures,12.513001595193785
A Connecticut Yankee in King Arthur's Court,14.573487987107935
A Cop,12.493023507551857
A Countess from Hong Kong,13.518369938208341
A Covenant with Death,11.267763766240321
A Cry in the Night,10.144210072234856
A Cup of Kindness,11.893868189234565
A Cure for Wellness,14.986849699125575
A Damsel in Distress,15.382021399800553
A Dandy in Aspic,12.228006972844629
A Dangerous Method,14.855584410706076
A Dangerous Profession,10.153099435648206
A Dangerous Woman,11.222693600159412
A Dark Reflection,9.729240639013147
A Dark Song,15.605975807748631
A Dark Truth,12.577993357301636
A Date with Judy,15.875237028741456
A Daughter of the Gods,13.471858364907987
A Day at the Beach,11.525730243766386
A Day at the Races,15.192592283598142
A Day in the Death of Joe Egg,10.169362159041727
A Day of Fury,11.4829324189248
A Day to Remember,12.336533108748181
A Day's Pleasure,12.19283813088338
A Deal Is a Deal,12.990290347028466
A Death in the Gunj,13.659890135732708
A Decent Arrangement,12.890454395388597
A Delicate Balance,12.241127694145813
A Different Story,12.305433534431007
A Dirty Shame,11.291780594957064
A Dispatch from Reuters,13.800935498093702
A Distant Thunder,9.915777052374859
A Distant Trumpet,13.682026509169424
A Dog of Flanders,13.85786525820632
A Dog's Breakfast,14.324877295434732
A Dog's Purpose,19.255198831376454
A Doll's House,12.995775749280178
A Dozen Summers,15.310590614277864
A Drunkard's Reformation,9.728687172128366
A Dry White Season,12.526556802399377
A Ducking They Did Go,13.535537399421333
A Face in the Crowd,15.85959736701881
A Face in the Fog,8.48436703723131
A Family Thing,15.035218538883912
